"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"X4301917","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","johnsonii"
"X4296689","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","","",""
"X545286","Bacteria","Firmicutes","Clostridia","Thermoanaerobacterales","","",""
"X206237","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","OM60","",""
"X4296680","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","Methylophilaceae","",""
"X4452489","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Photobacterium",""
"X196140","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Slackia",""
"X3931","Bacteria","Spirochaetes","Spirochaetes","Spirochaetales","Spirochaetaceae","Treponema",""
"X69916","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","",""
"X522595","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","coprophilus"
"X1146771","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","Christensenella",""
"X4344207","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","anginosus"
"X42091","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Peptococcus",""
"X4448798","Bacteria","Firmicutes","Clostridia","Clostridiales","4172","",""
"X1025830","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","","",""
"X495079","Bacteria","Firmicutes","Clostridia","Clostridiales","[Tissierellaceae]","Finegoldia",""
"X4329575","Bacteria","Lentisphaerae","[Lentisphaeria]","Victivallales","Victivallaceae","",""
"X4335977","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","yabuuchiae"
"X316560","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Carnobacterium",""
"X83013","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Volucribacter","psittacicida"
"X156580","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia",""
"X1062865","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","infantis"
"X4453317","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","mitochondria","Calycanthus","floridus"
"X1060621","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","cinerea"
"X4459414","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Selenomonas","noxia"
"X571089","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfarculales","Desulfarculaceae","",""
"X311961","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaerotruncus",""
"X76547","Bacteria","Firmicutes","Clostridia","Clostridiales","[Mogibacteriaceae]","Mogibacterium",""
"X667356","Bacteria","Firmicutes","Clostridia","Clostridiales","[Acidaminobacteraceae]","Fusibacter",""
"X4423384","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","obeum"
"X345277","Bacteria","Firmicutes","Clostridia","Clostridiales","Gracilibacteraceae","Lutispora",""
"X4468024","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia","blattae"
"X463843","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Moryella",""
"X567972","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","agalactiae"
"X4387465","Bacteria","Firmicutes","Clostridia","Clostridiales","[Tissierellaceae]","Sedimentibacter",""
"X114658","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Proteiniclasticum",""
"X1109850","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Sulfuritalea",""
"X4426298","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","animalis"
"X4426299","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium",""
"X46026","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","[Chromatiaceae]","",""
"X851782","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Shuttleworthia","satelles"
"X4452050","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Klebsiella",""
"X4418310","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Agarivorans",""
"X364289","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","rc4-4",""
"X4336255","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Chromobacterium",""
"X4298637","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Taylorella","equigenitalis"
"X360703","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","[Ruminococcus]","torques"
"X4474079","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Tepidibacter",""
"X4364121","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Rothia","dentocariosa"
"X328472","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Varibaculum",""
"X4379449","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","Clostridium","saccharogumia"
"X895959","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","","",""
"X559380","Bacteria","Firmicutes","Clostridia","Natranaerobiales","Anaerobrancaceae","",""
"X4227110","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Citrobacter","freundii"
"X1139148","Bacteria","Proteobacteria","Gammaproteobacteria","Cardiobacteriales","Cardiobacteriaceae","Suttonella","ornithocola"
"X168104","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Dok59",""
"X293386","Bacteria","Firmicutes","Clostridia","Clostridiales","[Acidaminobacteraceae]","",""
"X9466","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Pasteurella",""
"X4482377","Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Facklamia",""
"X4482376","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","",""
"X4234212","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","ovatus"
"X369241","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","",""
"X133176","Bacteria","Acidobacteria","Holophagae","Holophagales","Holophagaceae","",""
"X4412750","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","OM60","Congregibacter",""
"X4452118","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Leptothrix",""
"X1898675","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Ramlibacter",""
"X4361528","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",""
"X4464735","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Vogesella",""
"X209606","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","BF311",""
"X3275744","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Herbaspirillum",""
"X300496","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","BS11","",""
"X140325","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Candidatus Portiera",""
"X298120","Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","",""
"X4321324","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Limnohabitans",""
"X555860","Bacteria","Firmicutes","Clostridia","Clostridiales","[Mogibacteriaceae]","Anaerovorax",""
"X107401","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Mannheimia",""
"X302647","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella",""
"X10365","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Yersinia",""
"X263518","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","",""
"X4480189","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","zeae"
"X816867","Bacteria","Firmicutes","Bacilli","Bacillales","Thermoactinomycetaceae","",""
"X25947","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Acidaminococcus",""
"X4331760","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","indistinctus"
"X4024061","Bacteria","Acidobacteria","Acidobacteria-6","iii1-15","","",""
"X4368827","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Lautropia",""
"X4396454","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Methylibium",""
"X230897","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Megamonas","hypermegale"
"X42931","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","garvieae"
"X324331","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Photorhabdus",""
"X3804335","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Peptostreptococcus",""
"X342268","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Clostridium","metallolevans"
"X4480861","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","Catenibacterium",""
"X836766","Bacteria","Tenericutes","CK-1C4-19","","","",""
"X539482","Bacteria","Proteobacteria","Betaproteobacteria","SBla14","","",""
"X772177","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Nitrobacter",""
"X2864281","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Succiniclasticum",""
"X312770","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","eggerthii"
"X1127353","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","coprosuis"
"X306613","Bacteria","Firmicutes","Clostridia","Natranaerobiales","ML1228J-1","",""
"X134262","Bacteria","Firmicutes","Clostridia","","","",""
"X386273","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Campylobacter","ureolyticus"
"X4451018","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Tepidimonas",""
"X573624","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Intrasporangiaceae","",""
"X237479","Bacteria","Proteobacteria","Deltaproteobacteria","","","",""
"X4435370","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Cetobacterium",""
"X55486","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Alysiella","filiformis"
"X4347829","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","[Barnesiellaceae]","Barnesiella","viscericola"
"X767863","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","",""
"X1136387","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Alloscardovia",""
"X553938","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Anoxynatronum",""
"X805953","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Chelonobacter",""
"X152527","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Erwinia","oleae"
"X3908638","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Enterobacter","cloacae"
"X557138","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",""
"X2897325","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Bilophila",""
"X170060","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae","",""
"X4428224","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Pasteurella","multocida"
"X333961","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Idiomarinaceae","Pseudidiomarina",""
"X1109623","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Hafnia","alvei"
"X922239","Bacteria","Firmicutes","Bacilli","Gemellales","","",""
"X4374042","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","Deferribacteraceae","Mucispirillum","schaedleri"
"X4369927","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","gladioli"
"X4397453","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylococcaceae","",""
"X4340087","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Sporichthyaceae","",""
"X811108","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Syntrophococcus","sucromutans"
"X303161","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","luteciae"
"X169373","Bacteria","Firmicutes","Clostridia","BSA2B-08","","",""
"X233220","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Citrobacter",""
"X545465","Bacteria","Proteobacteria","Betaproteobacteria","SC-I-84","","",""
"X4475364","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","",""
"X19636","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","Nitrosomonas","oligotropha"
"X1110065","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Rubrivivax",""
"X106188","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Chelonobacter","Taxon"
"X790312","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas","taiwanensis"
"X929836","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","Coprobacillus","cateniformis"
"X1128422","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Tetragenococcus",""
"X1060565","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","Methylobacterium",""
"X4453484","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","pallens"
"X3745960","Bacteria","Firmicutes","Clostridia","Clostridiales","[Tissierellaceae]","Sporanaerobacter",""
"X4450012","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Arcanobacterium",""
"X1126009","Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Weissella","thailandensis"
"X270171","Bacteria","Proteobacteria","Betaproteobacteria","MWH-UniP1","","",""
"X837640","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Clostridium","venationis"
"X137026","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","agilis"
"X614583","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","",""
"X143225","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","TS34",""
"X4381192","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Corynebacterium","lubricantis"
"X3611663","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Uliginosibacterium",""
"X28109","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","breve"
"X287660","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Cetobacterium","somerae"
"X720949","Bacteria","Firmicutes","Bacilli","Bacillales","","",""
"X4437142","Bacteria","Proteobacteria","Deltaproteobacteria","NB1-j","NB1-i","",""
"X4313443","Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Acetobacterium",""
"X4423329","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Caldanaerocella",""
"X274087","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Rummeliibacillus",""
"X7346","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Paucimonas","lemoignei"
"X4270977","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Profftia","tarda"
"X464694","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","",""
"X690103","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Pontibacillus",""
"X344827","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","nordii"
"X541041","Bacteria","Acidobacteria","Sva0725","Sva0725","","",""
"X431766","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Candidatus Hamiltonella",""
"X527988","Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Anaerofustis",""
"X4454737","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus",""
"X240252","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acidocella",""
"X96731","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Sodalis",""
"X276168","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","",""
"X4475144","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Erwinia","chrysanthemi"
"X131660","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","delbrueckii"
"X4404465","Bacteria","Proteobacteria","Gammaproteobacteria","PYR10d3","","",""
"X219355","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","putealis"
"X182038","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Propionigenium",""
"X716976","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Candidatus Accumulibacter",""
"X4390755","Bacteria","Tenericutes","Mollicutes","Anaeroplasmatales","Anaeroplasmataceae","Anaeroplasma",""
"X4356131","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","Methylophilaceae","Methylotenera","mobilis"
"X143101","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","alaskensis"
"X4432125","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae","Leucothrix",""
"X4465158","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Kaistobacter",""
"X4421758","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Anoxybacillus","kestanbolensis"
"X4361631","Bacteria","","","","","",""
"X4454977","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Limnobacter",""
"X391286","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","maltophilia"
"X718624","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Serratia","ureilytica"
"X4468850","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Microbacteriaceae","Cryocola",""
"X4413654","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Psychromonadaceae","",""
"X4321170","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium","multivorum"
"X329437","Bacteria","Acidobacteria","RB25","","","",""
"X4438983","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter",""
"X815422","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","[Eubacterium]",""
"X1754506","Bacteria","Proteobacteria","Gammaproteobacteria","Cardiobacteriales","Cardiobacteriaceae","Cardiobacterium",""
"X4454507","Bacteria","Firmicutes","Bacilli","Bacillales","Listeriaceae","Listeria","weihenstephanensis"
"X4481861","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","",""
"X304047","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","acidifaciens"
"X194286","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides","gordonii"
"X4466137","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","",""
"X4464495","Bacteria","Proteobacteria","Betaproteobacteria","ASSO-13","","",""
"X238607","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Psychrilyobacter",""
"X332634","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Achromobacter",""
"X729052","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Desulfosporosinus","meridiei"
"X263149","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","[Chromatiaceae]","Rheinheimera",""
"X16054","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus","callidus"
"X4413917","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Trichococcus",""
"X4339728","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Hydrogenophaga",""
"X851811","Bacteria","Firmicutes","Bacilli","Bacillales","Listeriaceae","Listeria","grayi"
"X4461879","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Xanthomonas","oryzae"
"X798490","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Vitreoscilla",""
"X334143","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobulbaceae","",""
"X4417201","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Piscirickettsiaceae","",""
"X4344960","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Xenorhabdus","nematophila"
"X366851","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","",""
"X4307897","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","equi"
"X822201","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","",""
"X4479043","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga","ochracea"
"X4430952","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas",""
"X4450647","Bacteria","Proteobacteria","Betaproteobacteria","MKC10","","",""
"X568293","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","",""
"X4454839","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Enterobacter","radicincitans"
"X4354037","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","",""
"X548699","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Flexispira",""
"X156646","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","Methylophilaceae","Methylobacillus",""
"X918932","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","aureus"
"X130864","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","iners"
"X51114","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Psychrobacter",""
"X1718658","Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Aerococcus",""
"X62513","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Moryella","indoligenes"
"X4423026","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae","",""
"X791348","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","D168"
"X584730","Bacteria","Proteobacteria","Gammaproteobacteria","Cardiobacteriales","Cardiobacteriaceae","",""
"X336986","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","HTCC2188","HTCC",""
"X1634493","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Aeromicrobium",""
"X728069","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Marvinbryantia","formatexigens"
"X1121753","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","[Clostridium]","bifermentans"
"X4397708","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","",""
"X995149","Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Alloiococcus",""
"X4324245","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","stercorea"
"X367215","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","Holdemania",""
"X4403177","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Collimonas",""
"X4388067","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Sterolibacterium",""
"X4439606","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Morganella",""
"X218525","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","","",""
"X4317136","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","",""
"X567840","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bosea","genosp."
"X4343164","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","",""
"X812079","Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","",""
"X338952","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","",""
"X4374663","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","vaginalis"
"X3019790","Bacteria","Spirochaetes","[Brachyspirae]","[Brachyspirales]","Brachyspiraceae","Brachyspira",""
"X4456337","Bacteria","Proteobacteria","Deltaproteobacteria","Syntrophobacterales","Syntrophobacteraceae","",""
"X1133819","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Vagococcus",""
"X4354311","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Melissococcus","plutonius"
"X4393805","Bacteria","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae","",""
"X292053","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","E11",""
"X3232988","Bacteria","Tenericutes","RF3","ML615J-28","","",""
"X100027","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Pantoea","agglomerans"
"X4294678","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Candidatus Regiella","insecticola"
"X818516","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","botulinum"
