"","CCIS00146684ST-4-0","CCIS00281083ST-3-0","CCIS02124300ST-4-0","CCIS02379307ST-4-0","CCIS02856720ST-4-0","CCIS03473770ST-4-0","CCIS03857607ST-4-0","CCIS05314658ST-4-0","CCIS06260551ST-3-0","CCIS07277498ST-4-0","CCIS07539127ST-4-0","CCIS07648107ST-4-0","CCIS08668806ST-3-0","CCIS09568613ST-4-0","CCIS10706551ST-3-0","CCIS10793554ST-4-0","CCIS11015875ST-4-0","CCIS11019776ST-4-0","CCIS11354283ST-4-0","CCIS11362406ST-4-0","CCIS11558985ST-4-0","CCIS12370844ST-4-0","CCIS12656533ST-4-0","CCIS13047523ST-4-0","CCIS14449628ST-4-0","CCIS15704761ST-4-0","CCIS15794887ST-4-0","CCIS16326685ST-4-0","CCIS16383318ST-4-0","CCIS16561622ST-4-0","CCIS17669415ST-4-0","CCIS19142497ST-3-0","CCIS20795251ST-4-0","CCIS21126322ST-4-0","CCIS21278152ST-4-0","CCIS22275061ST-4-0","CCIS22416007ST-4-0","CCIS22906510ST-20-0","CCIS22958137ST-20-0","CCIS23164343ST-4-0","CCIS24254057ST-4-0","CCIS24898163ST-4-0","CCIS25399172ST-4-0","CCIS27304052ST-3-0","CCIS27927933ST-4-0","CCIS28384594ST-4-0","CCIS29210128ST-4-0","CCIS29688262ST-20-0","CCIS31434951ST-20-0","CCIS32105356ST-4-0","CCIS32452666ST-4-0","CCIS33816588ST-4-0","CCIS34055159ST-4-0","CCIS34604008ST-4-0","CCIS35092938ST-4-0","CCIS35100175ST-4-0","CCIS36699628ST-4-0","CCIS36797902ST-4-0","CCIS37250421ST-4-0","CCIS38765456ST-20-0","CCIS40244499ST-3-0","CCIS41222843ST-4-0","CCIS41288781ST-4-0","CCIS41548810ST-4-0","CCIS41692898ST-4-0","CCIS41806458ST-4-0","CCIS44093303ST-4-0","CCIS44676181ST-4-0","CCIS44743950ST-4-0","CCIS44757994ST-4-0","CCIS45571137ST-3-0","CCIS45793747ST-4-0","CCIS46047672ST-4-0","CCIS46467422ST-4-0","CCIS47284573ST-4-0","CCIS47745468ST-4-0","CCIS48174381ST-4-0","CCIS48507077ST-4-0","CCIS48579360ST-4-0","CCIS48725289ST-4-0","CCIS50003399ST-4-0","CCIS50148151ST-4-0","CCIS50369211ST-20-0","CCIS50471204ST-4-0","CCIS50561855ST-4-0","CCIS51595129ST-4-0","CCIS51667829ST-4-0","CCIS52234160ST-4-0","CCIS52370277ST-4-0","CCIS53043478ST-4-0","CCIS53355328ST-4-0","CCIS53557295ST-4-0","CCIS54027808ST-4-0","CCIS55230578ST-4-0","CCIS55531770ST-4-0","CCIS56503244ST-3-0","CCIS58234805ST-4-0","CCIS59132091ST-4-0","CCIS59903910ST-4-0","CCIS61287323ST-4-0","CCIS62605362ST-3-0","CCIS62794166ST-4-0","CCIS63448910ST-4-0","CCIS63468405ST-4-0","CCIS63910149ST-4-0","CCIS64773582ST-4-0","CCIS64785924ST-20-0","CCIS65479369ST-4-0","CCIS70398272ST-4-0","CCIS71301801ST-4-0","CCIS71578391ST-4-0","CCIS72607085ST-4-0","CCIS74239020ST-4-0","CCIS74726977ST-3-0","CCIS76563044ST-4-0","CCIS76845094ST-20-0","CCIS77100899ST-4-0","CCIS77252613ST-4-0","CCIS78100604ST-4-0","CCIS78318719ST-4-0","CCIS79210440ST-3-0","CCIS80834637ST-4-0","CCIS81139242ST-4-0","CCIS81710917ST-20-0","CCIS81735969ST-20-0","CCIS81887263ST-4-0","CCIS82146115ST-4-0","CCIS82507866ST-3-0","CCIS82944710ST-20-0","CCIS83445808ST-4-0","CCIS83574003ST-4-0","CCIS83870198ST-4-0","CCIS84543192ST-4-0","CCIS85214191ST-3-0","CCIS87116798ST-4-0","CCIS87167916ST-4-0","CCIS87252800ST-4-0","CCIS87290971ST-4-0","CCIS87605453ST-4-0","CCIS88007743ST-4-0","CCIS88317640ST-4-0","CCIS90164298ST-4-0","CCIS90166425ST-4-0","CCIS90443472ST-4-0","CCIS90903952ST-3-0","CCIS91228662ST-4-0","CCIS93040568ST-20-0","CCIS94417875ST-3-0","CCIS94496512ST-4-0","CCIS94603952ST-4-0","CCIS95097901ST-4-0","CCIS95409808ST-4-0","CCIS96387239ST-4-0","CCIS98482370ST-3-0","CCIS98512455ST-4-0","CCIS98832363ST-4-0","CCMD11006829ST-21-0","CCMD12232071ST-21-0","CCMD13071240ST-21-0","CCMD13934959ST-21-0","CCMD14479708ST-21-0","CCMD18872694ST-21-0","CCMD19497912ST-21-0","CCMD23101338ST-21-0","CCMD25511638ST-21-0","CCMD25963797ST-21-0","CCMD26709089ST-21-0","CCMD26925580ST-21-0","CCMD34381688ST-21-0","CCMD35802077ST-21-0","CCMD40701343ST-21-0","CCMD42428553ST-21-0","CCMD45988061ST-21-0","CCMD46222674ST-21-0","CCMD46947453ST-21-0","CCMD48236717ST-21-0","CCMD50071957ST-21-0","CCMD51864103ST-21-0","CCMD60079086ST-21-0","CCMD63399960ST-21-0","CCMD64503764ST-21-0","CCMD64776337ST-21-0","CCMD72895164ST-21-0","CCMD74930188ST-21-0","CCMD79987997ST-21-0","CCMD82866709ST-21-0","CCMD86114146ST-21-0","CCMD86707194ST-21-0","CCMD87156761ST-21-0","CCMD88272491ST-21-0","CCMD90311071ST-21-0","CCMD93344354ST-21-0","CCMD95433940ST-21-0","CCMD96553385ST-21-0","MMPU29365221ST","MMPU68403337ST","MMPU72854103ST","MMPU84450604ST","MMPU99077057ST"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_clostridioforme|t__Clostridium_clostridioforme_unclassified",0,0,0,0,0,0,0,0,0,0,27992,0,340,0,0,0,0,0,8999,0,0,0,0,74885,175883,0,0,0,0,0,0,0,0,0,0,0,11989,6264,157,0,405976,0,4038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,884,106616,0,0,0,0,2217,0,564,0,0,0,328,0,0,28538,4386,0,0,0,97109,0,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0,942,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,4314,0,0,13909,0,10525,0,0,0,0,0,0,4821,0,0,100311,0,56249,0,0,0,25230,1347,0,133854,0,0,0,1551,0,0,0,0,0,0,0,0,1528,1281550,0,8131,0,33281,0,8263,6474,0,54088,13814,0,160,0,134,3068,3414,0,0,0,0,15080,1835,4438,471839,12621,0,0,1086757,14319,0,7334,0,123205,0,433,0,57665,0,0,304,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_mucosae|t__GCF_000248095",0,0,0,0,0,0,0,0,0,0,13579,0,0,0,0,0,0,0,0,5230,0,0,0,0,0,0,0,0,0,0,0,0,17968,0,0,0,0,0,0,0,0,0,0,0,1867112,0,0,0,0,0,0,0,0,0,0,0,0,4288,0,0,0,0,0,0,0,10734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2623,0,0,0,0,0,0,0,0,0,0,0,272445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31139,0,0,0,21416,0,0,0,0,0,38309,0,0,0,0,0,0,35158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Lautropia|s__Lautropia_mirabilis|t__GCF_000186425",0,0,0,0,0,0,0,0,0,0,4556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_gingivalis|t__Porphyromonas_gingivalis_unclassified",0,0,0,0,0,0,0,0,0,0,4002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Gardnerella|s__Gardnerella_vaginalis|t__Gardnerella_vaginalis_unclassified",0,0,0,0,0,0,0,0,0,0,841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,608,0,0,0,0,0,0,0,0,0,0,0,1952,0,0,0,0,0,0,1288,0,0,0,0,0,712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium_sinus|t__GCF_000160635",0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,15293,0,0,0,0,0,0,2815,0,0,0,0,0,1302,0,0,0,0,0,0,0,3256,0,0,0,0,0,0,0,0,0,0,0,4260,0,1706,0,0,0,0,0,689,0,6033,0,0,0,0,122,0,0,0,0,0,678,0,0,0,0,0,0,0,0,0,5143,0,0,0,0,0,0,0,0,0,0,671,0,0,0,0,0,0,0,0,0,0,0,0,2077,0,0,4403,0,0,0,0,2861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,0,0,1003,0,0,0,0,0,0,4564,0,0,0,0,0,0,0,0,0,0,0,0,4167,0,0,0,0,4086,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae",0,0,0,0,0,0,0,0,0,0,0,1517,0,4864,0,0,0,0,0,0,0,0,0,0,0,0,31839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2749,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Butyricicoccus",0,0,0,0,0,0,0,0,0,0,0,41112,0,0,0,0,0,0,4226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,962,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413,0,0,0,0,0,7049,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,1492,0,0,0,0,0,0,630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,0,37655,0,0,0,0,0,0,0,0,0,510,0,0,1516,0,0,0,0,0,0,0,0,0,0,0,159,0,242,0,0,0,3371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,203,0,1493,0,196050,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Anaerofustis",0,0,0,0,0,0,0,0,0,0,0,3034,0,0,0,0,0,0,0,0,0,0,0,7975,0,0,0,0,0,6594,0,0,0,0,0,0,20326,832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1620,0,10153,0,0,0,0,0,0,0,1333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3842,0,0,0,0,0,0,0,0,0,0,0,4725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Acinetobacter",0,0,0,0,0,0,0,0,0,0,0,1517,0,4864,0,0,0,0,0,0,0,0,0,0,0,0,31839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_KLE_1755",0,0,0,0,0,0,0,0,0,0,0,162163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211159,0,0,0,0,0,0,0,0,0,0,0,0,1594259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110806,0,0,0,0,0,243401,0,0,0,0,319126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291618,0,0,0,0,0,0,0,0,0,0,691666,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_tanakaei",0,0,0,0,0,0,0,0,0,0,0,71532,0,0,0,0,0,0,0,0,0,4877,0,0,0,0,0,1421746,0,0,0,0,0,0,0,0,2213973,977126,0,0,0,0,0,0,178987,0,0,0,0,0,0,0,13081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141856,0,0,0,0,0,0,0,0,0,0,0,0,0,393644,0,0,0,0,0,0,0,0,0,140529,824959,0,0,0,0,0,0,506,0,0,3697,0,0,2682,3532,0,53392,0,0,624605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Butyricicoccus|s__Butyricicoccus_pullicaecorum",0,0,0,0,0,0,0,0,0,0,0,41112,0,0,0,0,0,0,4226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,962,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413,0,0,0,0,0,7049,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,1492,0,0,0,0,0,0,630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,0,37655,0,0,0,0,0,0,0,0,0,510,0,0,1516,0,0,0,0,0,0,0,0,0,0,0,159,0,242,0,0,0,3371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,203,0,1493,0,196050,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_rhamnosus",0,0,0,0,0,0,0,0,0,0,0,3392,0,0,0,0,0,0,0,0,0,0,0,0,0,31655,0,0,0,0,0,0,0,0,0,0,0,0,0,502,6292,0,0,0,0,0,0,0,0,7279,0,0,1528,0,0,19964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7940,6281,0,0,0,0,0,1659,0,0,0,0,10607,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,32090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10317,0,0,0,0,1459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Anaerofustis|s__Anaerofustis_stercorihominis",0,0,0,0,0,0,0,0,0,0,0,3034,0,0,0,0,0,0,0,0,0,0,0,7975,0,0,0,0,0,6594,0,0,0,0,0,0,20326,832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1620,0,10153,0,0,0,0,0,0,0,1333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3842,0,0,0,0,0,0,0,0,0,0,0,4725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter_johnsonii",0,0,0,0,0,0,0,0,0,0,0,1517,0,4864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_bolteae|t__GCF_000371665",0,0,0,0,0,0,0,0,0,0,0,555300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1373271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49633,0,0,0,0,0,0,0,84302,0,0,0,0,0,0,0,0,0,0,0,348013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1749670,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_KLE_1755|t__GCF_000466465",0,0,0,0,0,0,0,0,0,0,0,162163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211159,0,0,0,0,0,0,0,0,0,0,0,0,1594259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110806,0,0,0,0,0,243401,0,0,0,0,319126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291618,0,0,0,0,0,0,0,0,0,0,691666,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_clostridioforme|t__GCF_000371525",0,0,0,0,0,0,0,0,0,0,0,145430,0,0,0,0,0,0,0,0,0,0,0,0,0,8781704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3168059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81709,0,0,0,0,0,0,0,0,0,0,88505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153673,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_tanakaei|t__GCF_000225705",0,0,0,0,0,0,0,0,0,0,0,71532,0,0,0,0,0,0,0,0,0,4877,0,0,0,0,0,1421746,0,0,0,0,0,0,0,0,2213973,977126,0,0,0,0,0,0,178987,0,0,0,0,0,0,0,13081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141856,0,0,0,0,0,0,0,0,0,0,0,0,0,393644,0,0,0,0,0,0,0,0,0,140529,824959,0,0,0,0,0,0,506,0,0,3697,0,0,2682,3532,0,53392,0,0,624605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Butyricicoccus|s__Butyricicoccus_pullicaecorum|t__GCF_000398925",0,0,0,0,0,0,0,0,0,0,0,41112,0,0,0,0,0,0,4226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,962,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413,0,0,0,0,0,7049,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,1492,0,0,0,0,0,0,630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,0,37655,0,0,0,0,0,0,0,0,0,510,0,0,1516,0,0,0,0,0,0,0,0,0,0,0,159,0,242,0,0,0,3371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,203,0,1493,0,196050,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_rhamnosus|t__Lactobacillus_rhamnosus_unclassified",0,0,0,0,0,0,0,0,0,0,0,3392,0,0,0,0,0,0,0,0,0,0,0,0,0,31655,0,0,0,0,0,0,0,0,0,0,0,0,0,502,6292,0,0,0,0,0,0,0,0,7279,0,0,1528,0,0,19964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7940,6281,0,0,0,0,0,1659,0,0,0,0,10607,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,32090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10317,0,0,0,0,1459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Anaerofustis|s__Anaerofustis_stercorihominis|t__GCF_000154825",0,0,0,0,0,0,0,0,0,0,0,3034,0,0,0,0,0,0,0,0,0,0,0,7975,0,0,0,0,0,6594,0,0,0,0,0,0,20326,832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1620,0,10153,0,0,0,0,0,0,0,1333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3842,0,0,0,0,0,0,0,0,0,0,0,4725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
